airline,flight_code,origin,destiny,distance,leave,delay
XE,XE2679,EWR,MYR,SSO,1110,113,18
YV,YV7138,ORD,ABE,654,1426,144,43
OO,OO1976,ORD,CVG,264,647,80,44
UA,UA31,DEN,SFO,967,1125,158,1
US,US1409,CLT,MSY,651,1649,155,44
WN,WN1107,LAX,BNA,1797,1548,234,17
EV,EV4606,ATL,HSV,151,1822,56,3
F9,F9105,MSP,DEN,680,2007,117,8
FL,FL658,ATL,HPN,780,1840,112,47
HA,HA11,SFO,HNL,2398,848,325,23
MQ,MQ3005,LAX,SBP,155,1301,58,7
NW,NW1448,LAN,DTW,74,1340,65,117
OH,OH5096,CVG,ORD,264,1805,103,187
9E,9E2949,LAN,DTW,74,1745,61,75
AS,AS89,SEA,ANC,1449,2210,196,0
B6,B61087,JFK,CLT,541,2219,124,25
CO,CO334,RDU,EWR,416,1901,83,47
